acidente_id,data,hora,tipo_acidente,gravidade,numero_feridos,numero_mortos,via,bairro,categoria_clima,temperatura,humidade,vento
1,2024-05-25,01:43,Colisão,Leve,0,0,Rua Pio XI,Lapa,Neblina,21.14,87.48,6.98
2,2024-07-11,23:10,Capotamento,Leve,0,0,Rua Teodoro Sampaio,Pinheiros,Nublado,24.79,68.97,10.03
3,2024-01-12,13:22,Engavetamento,Grave,0,0,Rua Guaicurus,Lapa,Chuva,20.52,74.84,9.79
4,2024-04-27,11:57,Choque traseiro,Leve,0,0,Av. dos Eucaliptos,Moema,Céu limpo,25.63,31.38,1.34
5,2024-04-06,16:51,Capotamento,Leve,0,0,Av. dos Eucaliptos,Moema,Chuva,19.99,89.54,10.61
6,2024-02-20,08:23,Capotamento,Média,1,0,Rua Boa Vista,Sé,Chuva,20.86,93.86,10.59
7,2024-10-26,23:42,Colisão,Média,0,0,Rua Joaquim Floriano,Itaim Bibi,Nublado,23.24,53.85,11.9
8,2024-05-21,13:23,Choque traseiro,Leve,0,0,Rua Guaicurus,Lapa,Céu limpo,26.79,43.15,5.32
9,2024-03-15,10:47,Engavetamento,Leve,0,0,Rua Dr. César,Santana,Nublado,25.23,72.61,4.55
10,2024-04-18,13:00,Capotamento,Média,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Céu limpo,30.4,33.6,9.47
11,2024-04-25,13:44,Capotamento,Leve,0,0,Rua XV de Novembro,Sé,Neblina,20.67,93.8,6.04
12,2024-09-07,21:13,Colisão,Leve,0,0,Rua Coelho Lisboa,Tatuapé,Chuva,23.24,86.55,5.22
13,2024-05-09,22:47,Choque traseiro,Leve,0,0,Rua XV de Novembro,Sé,Chuva,21.56,92.07,5.21
14,2024-02-20,05:23,Engavetamento,Leve,0,0,Rua Joaquim Floriano,Itaim Bibi,Chuva,22.48,92.11,8.17
15,2024-05-06,07:09,Capotamento,Leve,0,0,Av. Ibirapuera,Moema,Céu limpo,28.14,49.77,1.28
16,2024-04-29,05:44,Engavetamento,Leve,0,0,Rua Joaquim Floriano,Itaim Bibi,Nublado,21.99,53.18,8.8
17,2024-04-08,00:09,Capotamento,Grave,1,0,Av. Brigadeiro Faria Lima,Pinheiros,Nublado,22.64,51.8,9.84
18,2024-08-17,09:55,Colisão,Leve,0,0,Rua Jurucê,Moema,Céu limpo,29.66,38.6,2.26
19,2024-08-01,21:25,Atropelamento,Leve,0,0,Av. dos Eucaliptos,Moema,Nublado,21.6,70.93,5.0
20,2024-06-20,05:35,Engavetamento,Leve,0,0,Rua Domingos de Morais,Vila Mariana,Chuva,19.54,90.86,13.17
21,2024-03-08,09:59,Capotamento,Leve,0,0,Av. Lins de Vasconcelos,Vila Mariana,Chuva,20.41,93.82,13.4
22,2024-10-20,13:36,Capotamento,Grave,1,0,Rua Voluntários da Pátria,Santana,Chuva,26.0,83.75,10.71
23,2024-05-14,20:39,Capotamento,Leve,0,0,Rua Coelho Lisboa,Tatuapé,Chuva,21.31,90.76,6.75
24,2024-04-11,04:24,Capotamento,Leve,0,0,Av. dos Eucaliptos,Moema,Chuva,24.34,85.19,14.22
25,2024-01-17,05:43,Capotamento,Leve,0,0,Rua Joaquim Floriano,Itaim Bibi,Chuva,22.94,88.19,16.71
26,2024-04-01,23:24,Choque traseiro,Leve,0,0,Rua Guaicurus,Lapa,Neblina,21.11,80.11,5.38
27,2024-01-20,22:09,Colisão,Média,0,0,Av. Lins de Vasconcelos,Vila Mariana,Nublado,23.24,69.85,5.33
28,2024-06-12,11:54,Capotamento,Leve,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Nublado,27.85,72.56,7.75
29,2024-07-02,21:52,Atropelamento,Leve,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Neblina,21.12,94.36,4.25
30,2024-03-25,07:08,Colisão,Leve,0,0,Rua Teodoro Sampaio,Pinheiros,Nublado,20.07,50.61,2.25
31,2024-07-31,13:12,Choque traseiro,Leve,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Céu limpo,26.8,45.48,3.9
32,2024-04-21,02:18,Engavetamento,Leve,0,0,Rua Coelho Lisboa,Tatuapé,Nublado,26.04,72.4,8.05
33,2024-08-09,00:52,Capotamento,Leve,0,0,Rua Teodoro Sampaio,Pinheiros,Nublado,24.5,60.82,11.26
34,2024-07-08,23:04,Capotamento,Grave,2,0,Rua Joaquim Floriano,Itaim Bibi,Nublado,26.57,59.42,9.07
35,2024-06-22,07:04,Engavetamento,Leve,0,0,Rua Domingos de Morais,Vila Mariana,Céu limpo,28.59,47.68,8.45
36,2024-06-08,18:56,Engavetamento,Leve,0,0,Rua Voluntários da Pátria,Santana,Céu limpo,24.93,30.29,2.71
37,2024-02-18,17:44,Atropelamento,Grave,0,0,Av. Brigadeiro Faria Lima,Pinheiros,Nublado,26.72,73.31,7.72
38,2024-06-26,08:51,Choque traseiro,Média,1,0,Rua Dr. César,Santana,Neblina,16.7,80.93,2.41
39,2024-02-23,15:01,Choque traseiro,Média,0,0,Rua Joaquim Floriano,Itaim Bibi,Céu limpo,31.49,49.77,1.97
40,2024-08-07,03:58,Choque traseiro,Fatal,1,1,Rua Voluntários da Pátria,Santana,Neblina,20.55,80.85,2.12
41,2024-01-15,11:42,Choque traseiro,Leve,0,0,Rua Coelho Lisboa,Tatuapé,Chuva,21.31,92.69,16.22
42,2024-05-05,21:50,Colisão,Grave,1,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Nublado,20.35,63.62,6.1
43,2024-04-07,20:38,Choque traseiro,Média,0,0,Rua Pio XI,Lapa,Neblina,17.42,89.17,6.92
44,2024-08-06,10:57,Capotamento,Média,0,0,Rua Teodoro Sampaio,Pinheiros,Céu limpo,32.37,54.14,2.18
45,2024-02-29,20:56,Capotamento,Média,2,0,Rua XV de Novembro,Sé,Nublado,27.64,64.2,11.22
46,2024-03-31,10:30,Colisão,Leve,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Céu limpo,24.22,43.82,4.95
47,2024-06-23,08:51,Colisão,Grave,0,0,Rua Joaquim Floriano,Itaim Bibi,Nublado,27.35,53.78,7.25
48,2024-07-11,09:23,Capotamento,Leve,0,0,Rua Jurucê,Moema,Céu limpo,33.46,32.18,1.73
49,2024-09-30,14:17,Atropelamento,Leve,0,0,Av. dos Eucaliptos,Moema,Neblina,20.72,91.55,6.62
50,2024-02-24,16:05,Atropelamento,Leve,0,0,Av. Ibirapuera,Moema,Nublado,20.81,58.67,5.23
51,2024-02-12,20:05,Colisão,Leve,0,0,Rua Voluntários da Pátria,Santana,Nublado,22.18,71.82,2.02
52,2024-01-31,20:30,Capotamento,Leve,0,0,Rua Emília Marengo,Tatuapé,Nublado,27.58,58.29,4.15
53,2024-08-28,01:06,Atropelamento,Leve,0,0,Rua Emília Marengo,Tatuapé,Nublado,21.08,52.14,5.12
54,2024-09-07,13:32,Colisão,Média,4,0,Rua XV de Novembro,Sé,Nublado,20.7,70.34,3.64
55,2024-03-08,04:39,Engavetamento,Leve,0,0,Rua Voluntários da Pátria,Santana,Neblina,20.31,84.7,4.05
56,2024-06-04,00:24,Colisão,Leve,0,0,Rua Emília Marengo,Tatuapé,Nublado,26.26,62.45,11.96
57,2024-02-10,07:16,Engavetamento,Leve,0,0,Rua Guaicurus,Lapa,Céu limpo,32.02,37.22,7.41
58,2024-08-05,05:19,Atropelamento,Grave,0,0,Rua Doze de Outubro,Lapa,Neblina,16.66,93.38,2.09
59,2024-10-04,17:48,Engavetamento,Média,1,0,Rua Pio XI,Lapa,Chuva,19.24,71.85,17.4
60,2024-08-04,08:03,Engavetamento,Leve,0,0,Rua Jurucê,Moema,Neblina,20.78,95.45,0.34
61,2024-05-20,03:46,Colisão,Leve,0,0,Av. Juscelino Kubitschek,Itaim Bibi,Neblina,20.72,81.19,0.0
62,2024-08-02,00:12,Choque traseiro,Leve,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Neblina,16.8,93.65,5.7
63,2024-07-27,16:44,Atropelamento,Leve,0,0,Rua Joaquim Floriano,Itaim Bibi,Céu limpo,33.66,47.7,3.73
64,2024-10-26,15:10,Colisão,Leve,0,0,Rua Direita,Sé,Nublado,21.05,53.89,10.72
65,2024-02-05,11:51,Colisão,Média,4,0,Rua Jurucê,Moema,Chuva,18.79,94.18,6.49
66,2024-04-06,01:59,Engavetamento,Grave,1,0,Rua XV de Novembro,Sé,Chuva,18.0,91.81,17.57
67,2024-08-28,00:58,Engavetamento,Leve,0,0,Rua Vergueiro,Vila Mariana,Neblina,20.93,96.94,4.21
68,2024-01-17,20:25,Atropelamento,Leve,0,0,Rua Vergueiro,Vila Mariana,Chuva,19.57,70.48,8.55
69,2024-01-19,10:33,Atropelamento,Leve,0,0,Rua Guaicurus,Lapa,Chuva,19.61,86.43,17.92
70,2024-09-22,00:24,Capotamento,Leve,0,0,Rua Tuiuti,Tatuapé,Nublado,21.93,70.85,10.57
71,2024-08-15,02:43,Colisão,Média,0,0,Rua Voluntários da Pátria,Santana,Nublado,23.48,57.03,9.61
72,2024-01-01,12:26,Colisão,Leve,0,0,Rua Domingos de Morais,Vila Mariana,Nublado,23.46,53.31,9.48
73,2024-01-26,21:56,Engavetamento,Leve,0,0,Rua Joaquim Floriano,Itaim Bibi,Neblina,16.25,92.32,4.25
74,2024-10-16,01:50,Colisão,Leve,0,0,Rua Boa Vista,Sé,Neblina,21.43,89.68,4.55
75,2024-03-27,07:36,Colisão,Leve,0,0,Rua XV de Novembro,Sé,Céu limpo,24.93,36.29,8.92
76,2024-07-13,07:04,Engavetamento,Média,0,0,Rua Emília Marengo,Tatuapé,Céu limpo,33.96,47.44,3.74
77,2024-06-11,07:50,Atropelamento,Grave,0,0,Rua Teodoro Sampaio,Pinheiros,Nublado,22.31,63.19,4.26
78,2024-01-22,19:21,Engavetamento,Fatal,0,0,Rua XV de Novembro,Sé,Chuva,18.27,76.71,13.28
