transporte_id,tipo_transporte,capacidade,velocidade_media,lotacao_media,rota,data,n_passageiros,variacao_trafego,variacao_acidentes
1,Trem,1200,68.15,0.57,,,679,,0
2,Trem,1200,56.94,0.49,,,585,,0
3,Trem,1200,67.24,0.9,Lapa - Rua Guaicurus,2024-01-12,1080,Baixo,0
4,Trem,1200,51.52,0.67,Moema - Av. dos Eucaliptos,2024-04-27,803,Médio,0
5,Metrô,1500,54.61,0.58,Moema - Av. dos Eucaliptos,2024-04-06,869,Médio,0
6,BRT,200,30.51,0.51,Sé - Rua Boa Vista,2024-02-20,102,Baixo,1
7,VLT,400,33.89,0.78,Itaim Bibi - Rua Joaquim Floriano,2024-10-26,313,Baixo,0
8,VLT,400,27.02,0.58,Lapa - Rua Guaicurus,2024-05-21,233,Médio,0
9,VLT,400,35.92,0.64,Santana - Rua Dr. César,2024-03-15,254,Baixo,0
10,Ônibus,80,25.98,0.61,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-04-18,48,Baixo,0
11,Metrô,1500,74.73,0.87,Sé - Rua XV de Novembro,2024-04-25,1307,Alto,0
12,Metrô,1500,65.79,0.23,Tatuapé - Rua Coelho Lisboa,2024-09-07,351,Baixo,0
13,Metrô,1500,51.81,0.36,Sé - Rua XV de Novembro,2024-05-09,540,Baixo,0
14,Ônibus,80,25.94,0.53,Itaim Bibi - Rua Joaquim Floriano,2024-02-20,42,Médio,0
15,Trem,1200,67.42,0.75,Moema - Av. Ibirapuera,2024-05-06,897,Médio,0
16,Trem,1200,45.45,0.76,Itaim Bibi - Rua Joaquim Floriano,2024-04-29,915,Alto,0
17,Metrô,1500,52.12,0.54,Pinheiros - Av. Brigadeiro Faria Lima,2024-04-08,802,Baixo,1
18,Ônibus,80,18.15,0.32,Moema - Rua Jurucê,2024-08-17,25,Médio,0
19,Ônibus,80,22.45,0.8,Moema - Av. dos Eucaliptos,2024-08-01,64,Baixo,0
20,VLT,400,23.01,0.69,Vila Mariana - Rua Domingos de Morais,2024-06-20,276,Médio,0
21,Ônibus,80,24.9,0.63,Vila Mariana - Av. Lins de Vasconcelos,2024-03-08,50,Médio,0
22,VLT,400,31.66,0.61,Santana - Rua Voluntários da Pátria,2024-10-20,242,Baixo,1
23,Ônibus,80,33.88,0.86,Tatuapé - Rua Coelho Lisboa,2024-05-14,68,Baixo,0
24,Metrô,1500,56.34,0.63,Moema - Av. dos Eucaliptos,2024-04-11,940,Baixo,0
25,Ônibus,80,32.01,0.43,Itaim Bibi - Rua Joaquim Floriano,2024-01-17,34,Alto,0
26,Metrô,1500,66.8,0.33,Lapa - Rua Guaicurus,2024-04-01,488,Baixo,0
27,Trem,1200,63.79,0.77,Vila Mariana - Av. Lins de Vasconcelos,2024-01-20,918,Baixo,0
28,Ônibus,80,33.74,0.85,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-06-12,67,Baixo,0
29,VLT,400,36.53,0.54,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-07-02,215,Baixo,0
30,Ônibus,80,30.93,0.73,Pinheiros - Rua Teodoro Sampaio,2024-03-25,58,Alto,0
31,Ônibus,80,26.35,0.48,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-07-31,38,Médio,0
32,BRT,200,44.83,0.54,Tatuapé - Rua Coelho Lisboa,2024-04-21,107,Baixo,0
33,Ônibus,80,24.94,0.52,Pinheiros - Rua Teodoro Sampaio,2024-08-09,41,Baixo,0
34,Metrô,1500,66.68,0.62,Itaim Bibi - Rua Joaquim Floriano,2024-07-08,936,Baixo,2
35,BRT,200,28.92,0.61,Vila Mariana - Rua Domingos de Morais,2024-06-22,121,Alto,0
36,Trem,1200,61.59,0.73,Santana - Rua Voluntários da Pátria,2024-06-08,881,Médio,0
37,Trem,1200,66.6,0.83,Pinheiros - Av. Brigadeiro Faria Lima,2024-02-18,998,Baixo,0
38,BRT,200,36.95,0.54,Santana - Rua Dr. César,2024-06-26,107,Baixo,1
39,BRT,200,34.72,0.49,Itaim Bibi - Rua Joaquim Floriano,2024-02-23,97,Médio,0
40,Trem,1200,68.53,0.41,Santana - Rua Voluntários da Pátria,2024-08-07,494,Baixo,1
41,Ônibus,80,26.1,0.51,Tatuapé - Rua Coelho Lisboa,2024-01-15,40,Baixo,0
42,VLT,400,27.51,0.73,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-05-05,293,Baixo,1
43,BRT,200,36.35,0.73,Lapa - Rua Pio XI,2024-04-07,145,Médio,0
44,Trem,1200,45.6,0.51,Pinheiros - Rua Teodoro Sampaio,2024-08-06,615,Médio,0
45,Trem,1200,63.42,0.46,Sé - Rua XV de Novembro,2024-02-29,556,Baixo,2
46,Trem,1200,55.83,0.87,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-03-31,1042,Baixo,0
47,Metrô,1500,52.23,0.64,Itaim Bibi - Rua Joaquim Floriano,2024-06-23,953,Médio,0
48,VLT,400,27.78,0.76,Moema - Rua Jurucê,2024-07-11,305,Médio,0
49,Ônibus,80,28.06,0.29,Moema - Av. dos Eucaliptos,2024-09-30,22,Baixo,0
50,Metrô,1500,54.84,0.79,Moema - Av. Ibirapuera,2024-02-24,1190,Alto,0
51,VLT,400,23.35,0.61,Santana - Rua Voluntários da Pátria,2024-02-12,243,Médio,0
52,BRT,200,40.44,0.51,Tatuapé - Rua Emília Marengo,2024-01-31,101,Médio,0
53,Trem,1200,46.47,0.47,Tatuapé - Rua Emília Marengo,2024-08-28,568,Baixo,0
54,Metrô,1500,67.68,0.78,Sé - Rua XV de Novembro,2024-09-07,1165,Baixo,4
55,Metrô,1500,57.24,0.59,Santana - Rua Voluntários da Pátria,2024-03-08,887,Baixo,0
56,Trem,1200,64.57,0.6,Tatuapé - Rua Emília Marengo,2024-06-04,716,Baixo,0
57,BRT,200,43.67,0.58,Lapa - Rua Guaicurus,2024-02-10,116,Médio,0
58,Metrô,1500,64.64,1.0,Lapa - Rua Doze de Outubro,2024-08-05,1500,Médio,0
59,VLT,400,35.55,0.44,Lapa - Rua Pio XI,2024-10-04,175,Baixo,1
60,Metrô,1500,57.18,1.13,Moema - Rua Jurucê,2024-08-04,1702,Baixo,0
61,Trem,1200,55.13,0.58,Itaim Bibi - Av. Juscelino Kubitschek,2024-05-20,698,Baixo,0
62,VLT,400,35.14,0.72,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-08-02,286,Baixo,0
63,Ônibus,80,27.41,0.5,Itaim Bibi - Rua Joaquim Floriano,2024-07-27,40,Médio,0
64,Ônibus,80,20.71,0.98,Sé - Rua Direita,2024-10-26,78,Baixo,0
65,Ônibus,80,32.62,0.7,Moema - Rua Jurucê,2024-02-05,55,Baixo,4
66,Ônibus,80,31.65,0.82,Sé - Rua XV de Novembro,2024-04-06,65,Baixo,1
67,Metrô,1500,68.68,0.69,Vila Mariana - Rua Vergueiro,2024-08-28,1038,Baixo,0
68,Metrô,1500,60.0,0.82,Vila Mariana - Rua Vergueiro,2024-01-17,1229,Médio,0
69,BRT,200,41.75,0.84,Lapa - Rua Guaicurus,2024-01-19,167,Médio,0
70,Metrô,1500,68.49,0.56,Tatuapé - Rua Tuiuti,2024-09-22,834,Baixo,0
71,BRT,200,42.27,0.64,Santana - Rua Voluntários da Pátria,2024-08-15,127,Baixo,0
72,BRT,200,40.86,0.59,Vila Mariana - Rua Domingos de Morais,2024-01-01,118,Médio,0
73,VLT,400,25.55,0.43,Itaim Bibi - Rua Joaquim Floriano,2024-01-26,173,Baixo,0
74,Trem,1200,63.91,1.0,Sé - Rua Boa Vista,2024-10-16,1201,Baixo,0
75,VLT,400,31.09,0.46,Sé - Rua XV de Novembro,2024-03-27,182,Baixo,0
76,Ônibus,80,29.06,0.48,Tatuapé - Rua Emília Marengo,2024-07-13,38,Baixo,0
77,Metrô,1500,59.21,0.49,Pinheiros - Rua Teodoro Sampaio,2024-06-11,737,Baixo,0
78,Metrô,1500,64.35,0.64,Sé - Rua XV de Novembro,2024-01-22,964,Alto,0
